n00004475	organism, being
n01607600	rough-legged hawk, roughleg, Buteo lagopus
n01607812	red-shouldered hawk, Buteo lineatus
n01607962	buzzard, Buteo buteo
n01608265	honey buzzard, Pernis apivorus
n01608432	kite
n01608814	black kite, Milvus migrans
n01609062	swallow-tailed kite, swallow-tailed hawk, Elanoides forficatus
n01609391	white-tailed kite, Elanus leucurus
n01609751	harrier
n01609956	marsh harrier, Circus Aeruginosus
n01610100	Montagu's harrier, Circus pygargus
n01610226	marsh hawk, northern harrier, hen harrier, Circus cyaneus
n01610552	harrier eagle, short-toed eagle
n01610955	falcon
n01611472	peregrine, peregrine falcon, Falco peregrinus
n01611674	falcon-gentle, falcon-gentil
n01611800	gyrfalcon, gerfalcon, Falco rusticolus
n01611969	kestrel, Falco tinnunculus
n01612122	sparrow hawk, American kestrel, kestrel, Falco sparverius
n01612275	pigeon hawk, merlin, Falco columbarius
n01612476	hobby, Falco subbuteo
n01612628	caracara
n01612955	Audubon's caracara, Polyborus cheriway audubonii
n01613177	carancha, Polyborus plancus
n01613294	eagle, bird of Jove
n01613615	young bird
n01613807	eaglet
n01614038	harpy, harpy eagle, Harpia harpyja
n01614343	golden eagle, Aquila chrysaetos
n01614556	tawny eagle, Aquila rapax
n01614925	bald eagle, American eagle, Haliaeetus leucocephalus
n01615121	sea eagle
n01615303	Kamchatkan sea eagle, Stellar's sea eagle, Haliaeetus pelagicus
n01615458	ern, erne, grey sea eagle, gray sea eagle, European sea eagle, white-tailed sea eagle, Haliatus albicilla
n01615703	fishing eagle, Haliaeetus leucorhyphus
n01616086	osprey, fish hawk, fish eagle, sea eagle, Pandion haliaetus
n01616318	vulture
n01616551	Aegypiidae, family Aegypiidae
n01616764	Old World vulture
n01617095	griffon vulture, griffon, Gyps fulvus
n01617443	bearded vulture, lammergeier, lammergeyer, Gypaetus barbatus
n01617766	Egyptian vulture, Pharaoh's chicken, Neophron percnopterus
n01618082	black vulture, Aegypius monachus
n01618503	secretary bird, Sagittarius serpentarius
n01618922	New World vulture, cathartid
n01619310	buzzard, turkey buzzard, turkey vulture, Cathartes aura
n01619536	condor
n01619835	Andean condor, Vultur gryphus
n01620135	California condor, Gymnogyps californianus
n01620414	black vulture, carrion crow, Coragyps atratus
n01620735	king vulture, Sarcorhamphus papa
n01621127	owl, bird of Minerva, bird of night, hooter
n01621635	owlet
n01622120	little owl, Athene noctua
n01622352	horned owl
n01622483	great horned owl, Bubo virginianus
n01622779	great grey owl, great gray owl, Strix nebulosa
n01622959	tawny owl, Strix aluco
n01623110	barred owl, Strix varia
n01623425	screech owl, Otus asio
n01623615	screech owl
n01623706	scops owl
n01623880	spotted owl, Strix occidentalis
n01624115	Old World scops owl, Otus scops
n01624212	Oriental scops owl, Otus sunia
n01624305	hoot owl
n01624537	hawk owl, Surnia ulula
n01624833	long-eared owl, Asio otus
n01625121	laughing owl, laughing jackass, Sceloglaux albifacies
n01625562	barn owl, Tyto alba
n01627424	amphibian
n01628331	Ichyostega
n01628770	urodele, caudate
n01629276	salamander
n01629819	European fire salamander, Salamandra salamandra
n01629962	spotted salamander, fire salamander, Salamandra maculosa
n01630148	alpine salamander, Salamandra atra
n01630284	newt, triton
n01630670	common newt, Triturus vulgaris
n01630901	red eft, Notophthalmus viridescens
n01631175	Pacific newt
n01631354	rough-skinned newt, Taricha granulosa
n01631512	California newt, Taricha torosa
n01631663	eft
n01632047	ambystomid, ambystomid salamander
n01632308	mole salamander, Ambystoma talpoideum
n01632458	spotted salamander, Ambystoma maculatum
n01632601	tiger salamander, Ambystoma tigrinum
n01632777	axolotl, mud puppy, Ambystoma mexicanum
n01632952	waterdog
n01633406	hellbender, mud puppy, Cryptobranchus alleganiensis
n01633781	giant salamander, Megalobatrachus maximus
n01634227	olm, Proteus anguinus
n01634522	mud puppy, Necturus maculosus
n01635027	dicamptodon, dicamptodontid
n01635176	Pacific giant salamander, Dicamptodon ensatus
n01635480	olympic salamander, Rhyacotriton olympicus
n01636127	lungless salamander, plethodont
n01636352	eastern red-backed salamander, Plethodon cinereus
n01636510	western red-backed salamander, Plethodon vehiculum
n01636829	dusky salamander
n01637112	climbing salamander
n01637338	arboreal salamander, Aneides lugubris
n01637615	slender salamander, worm salamander
n01637932	web-toed salamander
n01638194	Shasta salamander, Hydromantes shastae
n01638329	limestone salamander, Hydromantes brunus
n01638722	amphiuma, congo snake, congo eel, blind eel
n01639187	siren
n01639765	frog, toad, toad frog, anuran, batrachian, salientian
n01640846	true frog, ranid
n01641206	wood-frog, wood frog, Rana sylvatica
n01641391	leopard frog, spring frog, Rana pipiens
n01641577	bullfrog, Rana catesbeiana
n01641739	green frog, spring frog, Rana clamitans
n01641930	cascades frog, Rana cascadae
n01642097	goliath frog, Rana goliath
n01642257	pickerel frog, Rana palustris
n01642391	tarahumara frog, Rana tarahumarae
n01642539	grass frog, Rana temporaria
n01642943	leptodactylid frog, leptodactylid
n01643255	robber frog
n01643507	barking frog, robber frog, Hylactophryne augusti
n01643896	crapaud, South American bullfrog, Leptodactylus pentadactylus
n01644373	tree frog, tree-frog
n01644900	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
n01645466	Liopelma hamiltoni
n01645776	true toad
n01646292	bufo
n01646388	agua, agua toad, Bufo marinus
n01646555	European toad, Bufo bufo
n01646648	natterjack, Bufo calamita
n01646802	American toad, Bufo americanus
n01646902	Eurasian green toad, Bufo viridis
n01647033	American green toad, Bufo debilis
n01647180	Yosemite toad, Bufo canorus
n01647303	Texas toad, Bufo speciosus
n01647466	southwestern toad, Bufo microscaphus
n01647640	western toad, Bufo boreas
n01648139	obstetrical toad, midwife toad, Alytes obstetricans
n01648356	midwife toad, Alytes cisternasi
n01648620	fire-bellied toad, Bombina bombina
n01649170	spadefoot, spadefoot toad
n01649412	western spadefoot, Scaphiopus hammondii
n01649556	southern spadefoot, Scaphiopus multiplicatus
n01649726	plains spadefoot, Scaphiopus bombifrons
n01650167	tree toad, tree frog, tree-frog
n01650690	spring peeper, Hyla crucifer
n01650901	Pacific tree toad, Hyla regilla
n01651059	canyon treefrog, Hyla arenicolor
n01651285	chameleon tree frog
n01651487	cricket frog
n01651641	northern cricket frog, Acris crepitans
n01651778	eastern cricket frog, Acris gryllus
n01652026	chorus frog
n01652297	lowland burrowing treefrog, northern casque-headed frog, Pternohyla fodiens
n01653026	western narrow-mouthed toad, Gastrophryne olivacea
n01653223	eastern narrow-mouthed toad, Gastrophryne carolinensis
n01653509	sheep frog
n01653773	tongueless frog
n01654083	Surinam toad, Pipa pipa, Pipa americana
n01654637	African clawed frog, Xenopus laevis
n01654863	South American poison toad
n01655344	caecilian, blindworm
n01661091	reptile, reptilian
n01661592	anapsid, anapsid reptile
n01661818	diapsid, diapsid reptile
n01662060	Diapsida, subclass Diapsida
n01662622	chelonian, chelonian reptile
n01662784	turtle
n01663401	sea turtle, marine turtle
n01663782	green turtle, Chelonia mydas
n01664065	loggerhead, loggerhead turtle, Caretta caretta
n01664369	ridley
n01664492	Atlantic ridley, bastard ridley, bastard turtle, Lepidochelys kempii
n01664674	Pacific ridley, olive ridley, Lepidochelys olivacea
n01664990	hawksbill turtle, hawksbill, hawkbill, tortoiseshell turtle, Eretmochelys imbricata
n01665541	leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
n01665932	snapping turtle
n01666228	common snapping turtle, snapper, Chelydra serpentina
n01666585	alligator snapping turtle, alligator snapper, Macroclemys temmincki
n01667114	mud turtle
n01667432	musk turtle, stinkpot
n01667778	terrapin
n01668091	diamondback terrapin, Malaclemys centrata
n01668436	red-bellied terrapin, red-bellied turtle, redbelly, Pseudemys rubriventris
n01668665	slider, yellow-bellied terrapin, Pseudemys scripta
n01668892	cooter, river cooter, Pseudemys concinna
n01669191	box turtle, box tortoise
n01669372	Western box turtle, Terrapene ornata
n01669654	painted turtle, painted terrapin, painted tortoise, Chrysemys picta
n01670092	tortoise
n01670535	European tortoise, Testudo graeca
n01670802	giant tortoise
n01671125	gopher tortoise, gopher turtle, gopher, Gopherus polypemus
n01671479	desert tortoise, Gopherus agassizii
n01671705	Texas tortoise
n01672032	soft-shelled turtle, pancake turtle
n01672432	spiny softshell, Trionyx spiniferus
n01672611	smooth softshell, Trionyx muticus
n01673282	tuatara, Sphenodon punctatum
n01674216	saurian
n01674464	lizard
n01674990	gecko
n01675352	flying gecko, fringed gecko, Ptychozoon homalocephalum
n01675722	banded gecko
n01676755	iguanid, iguanid lizard
n01677366	common iguana, iguana, Iguana iguana
n01677747	marine iguana, Amblyrhynchus cristatus
n01678043	desert iguana, Dipsosaurus dorsalis
n01678343	chuckwalla, Sauromalus obesus
n01678657	zebra-tailed lizard, gridiron-tailed lizard, Callisaurus draconoides
n01679005	fringe-toed lizard, Uma notata
n01679307	earless lizard
n01679626	collared lizard
n01679962	leopard lizard
n01680264	spiny lizard
n01680478	fence lizard
n01680655	western fence lizard, swift, blue-belly, Sceloporus occidentalis
n01680813	eastern fence lizard, pine lizard, Sceloporus undulatus
n01680983	sagebrush lizard, Sceloporus graciosus
n01681328	side-blotched lizard, sand lizard, Uta stansburiana
n01681653	tree lizard, Urosaurus ornatus
n01681940	horned lizard, horned toad, horny frog
n01682172	Texas horned lizard, Phrynosoma cornutum
n01682435	basilisk
n01682714	American chameleon, anole, Anolis carolinensis
n01683201	worm lizard
n01683558	night lizard
n01684133	skink, scincid, scincid lizard
n01684578	western skink, Eumeces skiltonianus
n01684741	mountain skink, Eumeces callicephalus
n01685439	teiid lizard, teiid
n01685808	whiptail, whiptail lizard
n01686044	racerunner, race runner, six-lined racerunner, Cnemidophorus sexlineatus
n01686220	plateau striped whiptail, Cnemidophorus velox
n01686403	Chihuahuan spotted whiptail, Cnemidophorus exsanguis
n01686609	western whiptail, Cnemidophorus tigris
n01686808	checkered whiptail, Cnemidophorus tesselatus
n01687128	teju
n01687290	caiman lizard
n01687665	agamid, agamid lizard
n01687978	agama
n01688243	frilled lizard, Chlamydosaurus kingi
n01688961	moloch
n01689081	mountain devil, spiny lizard, Moloch horridus
n01689411	anguid lizard
n01689811	alligator lizard
n01690149	blindworm, slowworm, Anguis fragilis
n01690466	glass lizard, glass snake, joint snake
n01691217	legless lizard
n01691652	Lanthanotus borneensis
n01691951	venomous lizard
n01692333	Gila monster, Heloderma suspectum
n01692523	beaded lizard, Mexican beaded lizard, Heloderma horridum
n01692864	lacertid lizard, lacertid
n01693175	sand lizard, Lacerta agilis
n01693334	green lizard, Lacerta viridis
n01693783	chameleon, chamaeleon
n01694178	African chameleon, Chamaeleo chamaeleon
n01694311	horned chameleon, Chamaeleo oweni
n01694709	monitor, monitor lizard, varan
n01694955	African monitor, Varanus niloticus
n01695060	Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis
n01696633	crocodilian reptile, crocodilian
n01697178	crocodile
n01697457	African crocodile, Nile crocodile, Crocodylus niloticus
n01697611	Asian crocodile, Crocodylus porosus
n01697749	Morlett's crocodile
n01697978	false gavial, Tomistoma schlegeli
n01698434	alligator, gator
n01698640	American alligator, Alligator mississipiensis
n01698782	Chinese alligator, Alligator sinensis
n01699040	caiman, cayman
n01699254	spectacled caiman, Caiman sclerops
n01699675	gavial, Gavialis gangeticus
n01701551	armored dinosaur
n01701859	stegosaur, stegosaurus, Stegosaur stenops
n01702256	ankylosaur, ankylosaurus
n01702479	Edmontonia
n01703011	bone-headed dinosaur
n01703161	pachycephalosaur, pachycephalosaurus
n01703569	ceratopsian, horned dinosaur
n01704103	protoceratops
n01704323	triceratops
n01704626	styracosaur, styracosaurus
n01705010	psittacosaur, psittacosaurus
n01705591	ornithopod, ornithopod dinosaur
n01705934	hadrosaur, hadrosaurus, duck-billed dinosaur
n01707294	trachodon, trachodont
n01708106	saurischian, saurischian dinosaur
n01708998	sauropod, sauropod dinosaur
n01709484	apatosaur, apatosaurus, brontosaur, brontosaurus, thunder lizard, Apatosaurus excelsus
n01709876	barosaur, barosaurus
n01710177	diplodocus
n01711160	argentinosaur
n01712008	theropod, theropod dinosaur, bird-footed dinosaur
n01712752	ceratosaur, ceratosaurus
n01713170	coelophysis
n01713764	tyrannosaur, tyrannosaurus, Tyrannosaurus rex
n01714231	allosaur, allosaurus
n01715888	ornithomimid
n01717016	maniraptor
n01717229	oviraptorid
n01717467	velociraptor
n01718096	deinonychus
n01718414	utahraptor, superslasher
n01719403	synapsid, synapsid reptile
n01721174	dicynodont
n01721898	pelycosaur
n01722670	dimetrodon
n01722998	pterosaur, flying reptile
n01723579	pterodactyl
n01724231	ichthyosaur
n01724840	ichthyosaurus
n01725086	stenopterygius, Stenopterygius quadrisicissus
n01725713	plesiosaur, plesiosaurus
n01726203	nothosaur
n01726692	snake, serpent, ophidian
n01727646	colubrid snake, colubrid
n01728266	hoop snake
n01728572	thunder snake, worm snake, Carphophis amoenus
n01728920	ringneck snake, ring-necked snake, ring snake
n01729322	hognose snake, puff adder, sand viper
n01729672	leaf-nosed snake
n01729977	green snake, grass snake
n01730185	smooth green snake, Opheodrys vernalis
n01730307	rough green snake, Opheodrys aestivus
n01730563	green snake
n01730812	racer
n01730960	blacksnake, black racer, Coluber constrictor
n01731137	blue racer, Coluber constrictor flaviventris
n01731277	horseshoe whipsnake, Coluber hippocrepis
n01731545	whip-snake, whip snake, whipsnake
n01731764	coachwhip, coachwhip snake, Masticophis flagellum
n01731941	California whipsnake, striped racer, Masticophis lateralis
n01732093	Sonoran whipsnake, Masticophis bilineatus
n01732244	rat snake
n01732614	corn snake, red rat snake, Elaphe guttata
n01732789	black rat snake, blacksnake, pilot blacksnake, mountain blacksnake, Elaphe obsoleta
n01732989	chicken snake
n01733214	Indian rat snake, Ptyas mucosus
n01733466	glossy snake, Arizona elegans
n01733757	bull snake, bull-snake
n01733957	gopher snake, Pituophis melanoleucus
n01734104	pine snake
n01734418	king snake, kingsnake
n01734637	common kingsnake, Lampropeltis getulus
n01734808	milk snake, house snake, milk adder, checkered adder, Lampropeltis triangulum
n01735189	garter snake, grass snake
n01735439	common garter snake, Thamnophis sirtalis
n01735577	ribbon snake, Thamnophis sauritus
n01735728	Western ribbon snake, Thamnophis proximus
n01736032	lined snake, Tropidoclonion lineatum
n01736375	ground snake, Sonora semiannulata
n01736796	eastern ground snake, Potamophis striatula, Haldea striatula
n01737021	water snake
n01737472	common water snake, banded water snake, Natrix sipedon, Nerodia sipedon
n01737728	water moccasin
n01737875	grass snake, ring snake, ringed snake, Natrix natrix
n01738065	viperine grass snake, Natrix maura
n01738306	red-bellied snake, Storeria occipitamaculata
n01738601	sand snake
n01738731	banded sand snake, Chilomeniscus cinctus
n01739094	black-headed snake
n01739381	vine snake
n01739647	lyre snake
n01739871	Sonoran lyre snake, Trimorphodon lambda
n01740131	night snake, Hypsiglena torquata
n01740551	blind snake, worm snake
n01740885	western blind snake, Leptotyphlops humilis
n01741232	indigo snake, gopher snake, Drymarchon corais
n01741442	eastern indigo snake, Drymarchon corais couperi
n01741562	constrictor
n01741943	boa
n01742172	boa constrictor, Constrictor constrictor
n01742447	rubber boa, tow-headed snake, Charina bottae
n01742821	rosy boa, Lichanura trivirgata
n01743086	anaconda, Eunectes murinus
n01743605	python
n01743936	carpet snake, Python variegatus, Morelia spilotes variegatus
n01744100	reticulated python, Python reticulatus
n01744270	Indian python, Python molurus
n01744401	rock python, rock snake, Python sebae
n01744555	amethystine python
n01745125	elapid, elapid snake
n01745484	coral snake, harlequin-snake, New World coral snake
n01745902	eastern coral snake, Micrurus fulvius
n01746191	western coral snake, Micruroides euryxanthus
